epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3108.56,0.52871,1.63684,0.00422,0.51792,0.61504,0.45879,0.42009,0.90323,5.05368,0.01709,0.000665057,0.000665057,0.000665057
56,3157.33,0.46662,1.50566,0.00417,0.64227,0.57987,0.46131,0.43604,0.84645,5.05751,0.01588,0.000650909,0.000650909,0.000650909
57,3213.38,0.56427,1.5998,0.00536,0.65128,0.5797,0.46417,0.43856,0.81783,5.0399,0.01568,0.000636762,0.000636762,0.000636762
58,3264.15,0.47572,1.46104,0.00419,0.64451,0.57616,0.45426,0.4107,0.82678,5.12316,0.01615,0.000622615,0.000622615,0.000622615
59,3319.59,0.50449,1.37498,0.00424,0.63989,0.58241,0.46916,0.4228,0.87464,5.18104,0.01683,0.000608468,0.000608468,0.000608468
60,3365.13,0.47698,1.52179,0.00456,0.63366,0.58211,0.47964,0.44204,0.85433,5.17812,0.01566,0.000594321,0.000594321,0.000594321
61,3415.39,0.43622,1.49096,0.00372,0.62525,0.58635,0.48103,0.44088,0.88722,5.1884,0.01586,0.000580174,0.000580174,0.000580174
62,3466.5,0.43585,1.26028,0.00354,0.72435,0.57196,0.5067,0.46658,0.9104,5.20017,0.01618,0.000566027,0.000566027,0.000566027
63,3519.05,0.51215,1.24996,0.00451,0.72399,0.57804,0.50896,0.46211,0.9557,5.17233,0.01669,0.00055188,0.00055188,0.00055188
64,3571.69,0.46327,1.31182,0.00396,0.63608,0.61234,0.49674,0.45289,0.92873,5.02389,0.01608,0.000537733,0.000537733,0.000537733
65,3619.11,0.45328,1.38402,0.00424,0.65278,0.58244,0.49033,0.47114,0.88086,4.93086,0.01565,0.000523586,0.000523586,0.000523586
66,3669.53,0.46231,1.32959,0.00386,0.66317,0.55282,0.47857,0.45367,0.85624,4.8106,0.01518,0.000509438,0.000509438,0.000509438
67,3722.29,0.48918,1.36818,0.00448,0.65484,0.56861,0.47273,0.44855,0.85416,4.73789,0.01503,0.000495291,0.000495291,0.000495291
68,3769.31,0.47408,1.35603,0.00433,0.6653,0.47755,0.4833,0.44988,0.85421,4.62921,0.01489,0.000481144,0.000481144,0.000481144
69,3818.01,0.47684,1.34999,0.00404,0.65112,0.46069,0.44418,0.40866,0.8966,4.58918,0.01521,0.000466997,0.000466997,0.000466997
70,3862.62,0.47022,1.40774,0.00424,0.61543,0.52266,0.42685,0.38946,0.92978,4.57334,0.01518,0.00045285,0.00045285,0.00045285
71,3907.23,0.43673,1.24872,0.00411,0.62059,0.49332,0.43073,0.40002,0.93405,4.54694,0.01488,0.000438703,0.000438703,0.000438703
72,3951.37,0.43705,1.15287,0.00341,0.60674,0.52214,0.43711,0.40329,0.85614,4.50612,0.01429,0.000424556,0.000424556,0.000424556
73,3998.13,0.39405,1.266,0.00377,0.55089,0.57846,0.41802,0.38517,0.86109,4.54114,0.01479,0.000410409,0.000410409,0.000410409
74,4042.5,0.39387,1.15484,0.00337,0.63603,0.38216,0.40976,0.37458,0.89858,4.60812,0.01546,0.000396262,0.000396262,0.000396262
75,4093.2,0.4203,1.11496,0.00361,0.6439,0.40393,0.40759,0.37109,0.91217,4.682,0.01559,0.000382115,0.000382115,0.000382115
76,4143.32,0.40926,1.41422,0.0042,0.64303,0.4317,0.40753,0.36847,0.89106,4.75543,0.01536,0.000367967,0.000367967,0.000367967
77,4195.17,0.44157,1.32075,0.0043,0.63482,0.40375,0.40002,0.36291,0.87245,4.76512,0.01533,0.00035382,0.00035382,0.00035382
78,4242.31,0.39521,1.13165,0.0038,0.60661,0.51713,0.42205,0.39884,0.86857,4.78886,0.01522,0.000339673,0.000339673,0.000339673
79,4292.43,0.39938,1.14801,0.00388,0.64918,0.40179,0.43703,0.41439,0.88248,4.79417,0.01557,0.000325526,0.000325526,0.000325526
80,4337.88,0.46226,1.27618,0.00461,0.70253,0.40065,0.4219,0.39276,0.86407,4.79833,0.01539,0.000311379,0.000311379,0.000311379
81,4393.93,0.38225,1.02205,0.00351,0.72997,0.42872,0.41545,0.38643,0.85796,4.79021,0.01527,0.000297232,0.000297232,0.000297232
82,4445.96,0.42645,1.08954,0.0036,0.74264,0.4289,0.41412,0.38343,0.86977,4.80218,0.01541,0.000283085,0.000283085,0.000283085
83,4496.23,0.41212,1.10178,0.00407,0.73806,0.42846,0.41498,0.3853,0.8771,4.83181,0.01539,0.000268938,0.000268938,0.000268938
84,4547.18,0.38493,1.03422,0.00335,0.74201,0.42974,0.42275,0.39258,0.89248,4.83871,0.01577,0.000254791,0.000254791,0.000254791
85,4596.21,0.40476,1.07514,0.00374,0.72778,0.5962,0.44499,0.41644,0.88806,4.83873,0.01561,0.000240644,0.000240644,0.000240644
86,4642.53,0.37041,1.08083,0.00316,0.72834,0.59374,0.44895,0.42951,0.88169,4.822,0.01552,0.000226497,0.000226497,0.000226497
87,4684.85,0.44502,1.22005,0.00363,0.72609,0.59284,0.45373,0.43414,0.86981,4.80242,0.01534,0.000212349,0.000212349,0.000212349
88,4730.31,0.38172,0.96093,0.00334,0.71835,0.59372,0.45753,0.42859,0.85259,4.76028,0.01508,0.000198202,0.000198202,0.000198202
89,4784.92,0.37169,1.08477,0.00297,0.72889,0.4932,0.44014,0.41078,0.84881,4.75679,0.01482,0.000184055,0.000184055,0.000184055
90,4841.97,0.3387,1.10095,0.00313,0.71216,0.49634,0.44055,0.41089,0.84853,4.77103,0.01483,0.000169908,0.000169908,0.000169908
91,4889.98,0.3331,1.53228,0.00381,0.72678,0.49447,0.44105,0.40991,0.84919,4.77735,0.01463,0.000155761,0.000155761,0.000155761
92,4931.46,0.31994,1.50141,0.0036,0.69785,0.51994,0.45786,0.42517,0.85261,4.78595,0.01446,0.000141614,0.000141614,0.000141614
93,4972.12,0.30869,1.47925,0.00335,0.66358,0.6013,0.47483,0.44153,0.85216,4.77474,0.01446,0.000127467,0.000127467,0.000127467
94,5018.18,0.34592,1.49151,0.00336,0.67051,0.52415,0.45149,0.41999,0.83468,4.73599,0.0139,0.00011332,0.00011332,0.00011332
95,5067.23,0.30209,1.40542,0.00289,0.62429,0.5015,0.44703,0.41611,0.82723,4.72662,0.01391,9.91726e-05,9.91726e-05,9.91726e-05
96,5118.11,0.26229,1.50216,0.00279,0.55395,0.61102,0.43871,0.41075,0.8164,4.71596,0.01375,8.50255e-05,8.50255e-05,8.50255e-05
97,5170.61,0.2875,1.47243,0.00312,0.56039,0.60854,0.44161,0.4131,0.81138,4.70806,0.01355,7.08784e-05,7.08784e-05,7.08784e-05
98,5224.47,0.29897,1.40736,0.00314,0.57099,0.57827,0.44558,0.41708,0.80668,4.68032,0.01318,5.67313e-05,5.67313e-05,5.67313e-05
99,5275.92,0.32559,1.48134,0.0037,0.5603,0.57563,0.44014,0.41195,0.79731,4.70489,0.01276,4.25842e-05,4.25842e-05,4.25842e-05
100,5320.86,0.30906,1.47654,0.00378,0.55486,0.57296,0.44123,0.42305,0.79517,4.71665,0.0126,2.84371e-05,2.84371e-05,2.84371e-05
